Izvoz RoCof Martin;Dravograd G1;Medvode G1;Medvode G2;Solkan G1;HE Krško G1;Plave G1;Vuzenica G2;Blanca G3;Bostanj G3;Vrhovo G2;TEŠ 6;Doblar G2;TE-TOL G1;HE Moste G1;Plave G2;GWUGLJE1;Brezice G3;GHSENJ02;GHZAKUC2;GIECRF01;GIEDOM01;GIFSNV01;GIMFTV01;GIMFTV02;GIPCOF01;GISFIM01;GISOVV02;GOASCHA2;GODUERN2;GOFEIST2;GOHESSE2;GOKAPRU2;GOMALTA2;GOOBERS2;GOPETER2;GOROSEG2;GOSCHAE2;GOYBBSF2;GWGRABO2;GWHECAP2;GWHRAMA2;GWSALAK2;GWTSTUZ2;GJRPMLA1;GMPAKS01;GWTSVSG1;GISOMVA2;GHORLOV2;GIOSTM01;GISERM01;GIMTVM01;GIFADV02;GWTREBI2;GHTEPLO2;TEB_PB7;NEK
"Time in s";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW"
2,32416667;7,98971899;-0,02722004;1,97343735;2,28141191;3,48897480;-0,00670233;9,78323413;3,08761628;3,07793800;2,88964133;539,64256565;4,99186276;0,00000002;5,00445320;1,99252535;165,11952684;3,88142937;63,95036587;194,55242146;432,00499933;665,28409057;527,00602908;172,70332222;215,00741861;453,60721399;438,48142463;105,48458168;190,57784330;213,59848958;26,36872576;98,83079119;279,64532310;392,26975989;100,15257299;49,92157549;21,09357660;79,44242965;70,79907500;90,89319107;320,05822975;128,01858920;167,70752700;472,34734074;1440,00000000;434,89784795;200,94101278;70,65220603;191,97761861;596,15559395;636,76525824;421,20158097;140,81025958;252,21421644;159,94578000;53,83935734;690,74387850
2,32516667;7,98970287;-0,02702882;1,97357512;2,28136477;3,48905248;-0,00673075;9,78314670;3,08772484;3,07792145;2,88976500;539,64290472;4,99209039;0,00000002;5,00457858;1,99250021;165,11935860;3,88141188;63,95016188;194,55202214;432,00449675;665,28406790;527,00520655;172,70312448;215,00688215;453,60668514;438,48140639;105,48441518;190,57771128;213,59829117;26,36851331;98,83024818;279,64445337;392,26809384;100,15171591;49,92152892;21,09350257;79,44235542;70,79897644;90,89310942;320,05800283;128,01847425;167,70739107;472,34696615;1440,00000000;434,89660477;200,94082186;70,65206081;191,97720104;596,15508171;636,76469671;421,20131795;140,80999373;252,21373899;159,94452256;53,83885806;690,73918362
2,32616667;7,98968755;-0,02683545;1,97371501;2,28131913;3,48913063;-0,00675878;9,78306035;3,08783399;3,07790650;2,88988889;539,64330619;4,99231832;0,00000002;5,00470083;1,99247553;165,11919025;3,88139571;63,94996097;194,55162267;432,00399270;665,28404491;527,00438433;172,70293394;215,00634658;453,60615459;438,48138800;105,48424765;190,57757808;213,59809246;26,36830267;98,82970744;279,64357961;392,26641908;100,15086885;49,92148218;21,09343018;79,44228093;70,79887776;90,89302689;320,05777234;128,01835807;167,70725335;472,34658944;1440,00000000;434,89536596;200,94063067;70,65191547;191,97678437;596,15456855;636,76413404;421,20105421;140,80972673;252,21325677;159,94326635;53,83836191;690,73453338
2,32716667;7,98967304;-0,02663997;1,97385699;2,28127499;3,48920924;-0,00678641;9,78297509;3,08794372;3,07789314;2,89001299;539,64376988;4,99254652;0,00000002;5,00481996;1,99245132;165,11902180;3,88138087;63,94976316;194,55122311;432,00348720;665,28402158;527,00356250;172,70275060;215,00581195;453,60562237;438,48136945;105,48407909;190,57744369;213,59789346;26,36809384;98,82916897;279,64270186;392,26473564;100,15003184;49,92143527;21,09335942;79,44220618;70,79877898;90,89294349;320,05753830;128,01824065;167,70711387;472,34621067;1440,00000000;434,89413160;200,94043922;70,65177003;191,97636865;596,15405451;636,76357027;421,20078976;140,80945860;252,21276983;159,94201146;53,83786891;690,72992810
2,32816667;7,98965933;-0,02644240;1,97400105;2,28123236;3,48928831;-0,00681364;9,78289092;3,08805401;3,07788138;2,89013729;539,64429557;4,99277492;0,00000002;5,00493598;1,99242757;165,11885327;3,88136736;63,94956843;194,55082347;432,00298027;665,28399792;527,00274108;172,70257444;215,00527829;453,60508851;438,48135074;105,48390950;190,57730811;213,59769417;26,36788684;98,82863280;279,64182014;392,26304357;100,14920492;49,92138820;21,09329029;79,44213116;70,79868008;90,89285922;320,05730071;128,01812201;167,70697261;472,34582984;1440,00000000;434,89290175;200,94024753;70,65162448;191,97595389;596,15353962;636,76300541;421,20052463;140,80918934;252,21227817;159,94075792;53,83737908;690,72536800
2,32916667;7,98964642;-0,02624278;1,97414715;2,28119124;3,48936782;-0,00684047;9,78280784;3,08816484;3,07787121;2,89026175;539,64488301;4,99300349;0,00000002;5,00504889;1,99240430;165,11868464;3,88135518;63,94937680;194,55042373;432,00247193;665,28397393;527,00192010;172,70240545;215,00474560;453,60455301;438,48133188;105,48373890;190,57717135;213,59749461;26,36768168;98,82809897;279,64093448;392,26134293;100,14838812;49,92134096;21,09322279;79,44205590;70,79858107;90,89277407;320,05705954;128,01800213;167,70682957;472,34544693;1440,00000000;434,89167646;200,94005559;70,65147883;191,97554008;596,15302387;636,76243948;421,20025880;140,80891895;252,21178179;159,93950575;53,83689242;690,72085330
2,33016667;7,98963431;-0,02604115;1,97429529;2,28115162;3,48944776;-0,00686690;9,78272587;3,08827619;3,07786262;2,89038637;539,64553200;4,99323218;0,00000002;5,00515871;1,99238149;165,11851595;3,88134431;63,94918827;194,55002396;432,00196222;665,28394961;527,00109963;172,70224364;215,00421395;453,60401593;438,48131287;105,48356729;190,57703342;213,59729477;26,36747835;98,82756749;279,64004490;392,25963374;100,14758146;49,92129356;21,09315690;79,44198037;70,79848196;90,89268805;320,05681484;128,01788103;167,70668478;472,34506202;1440,00000000;434,89045580;200,93986342;70,65133310;191,97512727;596,15250733;636,76187253;421,19999231;140,80864746;252,21128075;159,93825502;53,83640897;690,71638430
2,33116667;7,98962301;-0,02583752;1,97444542;2,28111352;3,48952811;-0,00689291;9,78264500;3,08838804;3,07785562;2,89051112;539,64624230;4,99346094;0,00000002;5,00526543;1,99235916;165,11834719;3,88133476;63,94900283;194,54962413;432,00145114;665,28392495;527,00027968;172,70208897;215,00368332;453,60347726;438,48129371;105,48339467;190,57689430;213,59709468;26,36727688;98,82703840;279,63915144;392,25791607;100,14678500;49,92124600;21,09309264;79,44190460;70,79838276;90,89260116;320,05656655;128,01775870;167,70653819;472,34467507;1440,00000000;434,88923982;200,93967102;70,65118728;191,97471544;596,15198998;636,76130455;421,19972516;140,80837487;252,21077502;159,93700578;53,83592874;690,71196121
2,33216667;7,98961251;-0,02563194;1,97459753;2,28107693;3,48960886;-0,00691852;9,78256524;3,08850039;3,07785020;2,89063599;539,64701364;4,99368973;0,00000002;5,00536908;1,99233730;165,11817836;3,88132653;63,94882050;194,54922426;432,00093872;665,28389997;526,99946030;172,70194143;215,00315377;453,60293704;438,48127439;105,48322104;190,57675401;213,59689434;26,36707726;98,82651172;279,63825411;392,25618995;100,14599874;49,92119827;21,09302999;79,44182858;70,79828346;90,89251340;320,05631469;128,01763514;167,70638984;472,34428611;1440,00000000;434,88802856;200,93947840;70,65104138;191,97430462;596,15147185;636,76073558;421,19945736;140,80810118;252,21026464;159,93575803;53,83545174;690,70758425
2,33316667;7,98960280;-0,02542444;1,97475160;2,28104187;3,48969001;-0,00694372;9,78248660;3,08861320;3,07784635;2,89076096;539,64784585;4,99391851;0,00000002;5,00546965;1,99231591;165,11800950;3,88131961;63,94864129;194,54882440;432,00042500;665,28387466;526,99864155;172,70180104;215,00262533;453,60239530;438,48125492;105,48304642;190,57661255;213,59669375;26,36687951;98,82598747;279,63735296;392,25445545;100,14522272;49,92115039;21,09296895;79,44175232;70,79818407;90,89242477;320,05605929;128,01751037;167,70623972;472,34389517;1440,00000000;434,88682213;200,93928557;70,65089542;191,97389485;596,15095298;636,76016567;421,19918894;140,80782641;252,20974965;159,93451188;53,83497800;690,70325376
