Izvoz RoCof Martin;Dravograd G1;Medvode G1;Medvode G2;Solkan G1;HE Krško G1;Plave G1;Vuzenica G2;Blanca G3;Bostanj G3;Vrhovo G2;TEŠ 6;Doblar G2;TE-TOL G1;HE Moste G1;Plave G2;GWUGLJE1;Brezice G3;GHSENJ02;GHZAKUC2;GIECRF01;GIEDOM01;GIFSNV01;GIMFTV01;GIMFTV02;GIPCOF01;GISFIM01;GISOVV02;GOASCHA2;GODUERN2;GOFEIST2;GOHESSE2;GOKAPRU2;GOMALTA2;GOOBERS2;GOPETER2;GOROSEG2;GOSCHAE2;GOYBBSF2;GWGRABO2;GWHECAP2;GWHRAMA2;GWSALAK2;GWTSTUZ2;GJRPMLA1;GMPAKS01;GWTSVSG1;GISOMVA2;GHORLOV2;GIOSTM01;GISERM01;GIMTVM01;GIFADV02;GWTREBI2;GHTEPLO2;TEB_PB7;NEK
"Time in s";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW";"Positive-sequence, active power in MW"
2,33416667;7,45303918;-0,66890059;1,35097464;1,34712407;2,96199629;-0,36168011;8,81916888;2,54741882;2,15034233;2,48389580;503,24802203;4,68958446;9,34983741;5,04130822;1,60340955;164,53146274;2,86610174;61,02646553;193,07037196;431,45048133;665,43012988;524,04414654;167,55822024;212,66737772;453,12108746;438,51970432;105,79368013;191,22595156;213,19865184;24,37317119;95,38280534;280,40401613;394,82840306;89,89450104;49,92207130;19,51493302;79,43834590;70,58694953;91,25571508;322,02709132;128,52958521;168,56456819;472,53621936;1440,00000005;424,51574161;200,32991861;70,23841706;189,66524275;595,11350094;635,72449048;420,86455276;140,85172565;253,94596247;155,72047670;50,39838637;0,00000001
2,33516667;7,45291264;-0,66587907;1,35283814;1,34569953;2,96659192;-0,36278143;8,81583615;2,55260522;2,14991375;2,48813869;503,33595955;4,70089063;9,38252002;5,04407017;1,60252771;164,52442789;2,86682491;61,02011860;193,05221940;431,42461036;665,42872122;524,00537056;167,55954730;212,64368781;453,09369094;438,51868409;105,78435213;191,21761484;213,18788751;24,36438612;95,35715189;280,35400774;394,73140459;89,86260556;49,91945422;19,51346856;79,43417739;70,58163919;91,25112054;322,01277547;128,52311597;168,55644299;472,51659877;1440,00000005;424,45825871;200,32242424;70,23127410;189,64790122;595,08823534;635,69656659;420,85124187;140,83742576;253,91627607;155,66162946;50,37702269;0,00000001
2,33616667;7,45282881;-0,66280614;1,35475220;1,34435182;2,97120943;-0,36386046;8,81256864;2,55781724;2,14955303;2,49239411;503,42744671;4,71219613;9,41550309;5,04676465;1,60167117;164,51742807;2,86762217;61,01396299;193,03413105;431,39871036;665,42729766;523,96669766;167,56129099;212,62010858;453,06625607;438,51765757;105,77498427;191,20922295;213,17712426;24,35572404;95,33167841;280,30385160;394,63406515;89,83136340;49,91683189;19,51210411;79,43000085;70,57633126;91,24649487;321,99831340;128,51660286;168,54824874;472,49694261;1440,00000005;424,40136546;200,31496204;70,22413903;189,63068771;595,06297332;635,66863910;420,83791945;140,82308916;253,88638646;155,60294534;50,35584015;0,00000001
2,33716667;7,45278767;-0,65968225;1,35671653;1,34308102;2,97584821;-0,36491712;8,80936653;2,56305414;2,14926011;2,49666146;503,52246596;4,72349883;9,44878111;5,04939192;1,60083999;164,51046353;2,86849331;61,00799876;193,01610759;431,37278261;665,42585924;523,92812996;167,56344998;212,59664141;453,03878424;438,51662481;105,76557686;191,20077608;213,16636263;24,34718536;95,30638631;280,25354963;394,53638818;89,80077583;49,91420440;19,51083942;79,42581645;70,57102601;91,24183814;321,98370517;128,51004599;168,53998554;472,47725170;1440,00000005;424,34506441;200,30753215;70,21701223;189,61360276;595,03771606;635,64070936;420,82458619;140,80871642;253,85629506;155,54442676;50,33483968;0,00000001
2,33816667;7,45278916;-0,65650792;1,35873080;1,34188723;2,98050760;-0,36595132;8,80623002;2,56831518;2,14903490;2,50094018;503,62099958;4,73479659;9,48234851;5,05195224;1,60003422;164,50353456;2,86943813;61,00222600;192,99814982;431,34682847;665,42440600;523,88966971;167,56602306;212,57328776;453,01127688;438,51558587;105,75613021;191,19227446;213,15560317;24,33877045;95,28127700;280,20310375;394,43837715;89,77084408;49,91157188;19,50967422;79,42162437;70,56572371;91,23715045;321,96895101;128,50344551;168,53165356;472,45752695;1440,00000005;424,28935811;200,30013478;70,20989411;189,59664703;595,01246490;635,61277883;420,81124284;140,79430811;253,82600340;155,48607632;50,31402224;0,00000001
2,33916667;7,45283322;-0,65328361;1,36079471;1,34077051;2,98518700;-0,36696299;8,80315930;2,57359963;2,14887733;2,50522969;503,72302931;4,74608731;9,51619973;5,05444588;1,59925392;164,49664142;2,87045640;60,99664475;192,98025842;431,32084926;665,42293798;523,85131901;167,56900884;212,55004902;452,98373540;438,51454079;105,74664465;191,18371831;213,14484643;24,33047972;95,25635185;280,15251589;394,34003558;89,74156933;49,90893443;19,50860823;79,41742480;70,56042461;91,23243191;321,95405103;128,49680153;168,52325291;472,43776917;1440,00000005;424,23424904;200,29277010;70,20278503;189,57982108;594,98722104;635,58484889;420,79789011;140,77986478;253,79551292;155,42789643;50,29338875;0,00000001
2,34016667;7,45291979;-0,65000982;1,36290792;1,33973094;2,98988577;-0,36795205;8,80015453;2,57890676;2,14878730;2,50952943;503,82853668;4,75736887;9,55032916;5,05687315;1,59849913;164,48978437;2,87154790;60,99125504;192,96243415;431,29484630;665,42145520;523,81308006;167,57240599;212,52692661;452,95616122;438,51348964;105,73712050;191,17510785;213,13409298;24,32231353;95,23161225;280,10178801;394,24136698;89,71295274;49,90629217;19,50764119;79,41321791;70,55512898;91,22768259;321,93900541;128,49011419;168,51478374;472,41797924;1440,00000005;424,17973968;200,28543827;70,19568539;189,56312552;594,96198576;635,55692096;420,78452872;140,76538703;253,76482516;155,36988963;50,27294013;0,00000001
2,34116667;7,45304883;-0,64668705;1,36507012;1,33876859;2,99460329;-0,36891842;8,79721590;2,58423584;2,14876473;2,51383884;503,93750286;4,76863918;9,58473120;5,05923435;1,59776990;164,48296369;2,87271241;60,98605693;192,94467773;431,26882095;665,41995772;523,77495502;167,57621313;212,50392195;452,92855577;438,51243246;105,72755809;191,16644331;213,12334335;24,31427226;95,20705959;280,05092207;394,14237493;89,68499543;49,90364522;19,50677280;79,40900389;70,54983709;91,22290261;321,92381434;128,48338365;168,50624621;472,39815802;1440,00000005;424,12583248;200,27813948;70,18859558;189,54656092;594,93676034;635,52899645;420,77115940;140,75087544;253,73394166;155,31205842;50,25267731;0,00000001
2,34216667;7,45322025;-0,64331579;1,36728098;1,33788350;2,99933894;-0,36986204;8,79434358;2,58958613;2,14880952;2,51815736;504,04990862;4,77989614;9,61940021;5,06152980;1,59706629;164,47617962;2,87394970;60,98105041;192,92698989;431,24277453;665,41844557;523,73694602;167,58042881;212,48103641;452,90092047;438,51136930;105,71795774;191,15772493;213,11259810;24,30635628;95,18269522;279,99992005;394,04306300;89,65769847;49,90099368;19,50600278;79,40478292;70,54454919;91,21809205;321,90847798;128,47661003;168,49764046;472,37830637;1440,00000005;424,07252984;200,27087388;70,18151597;189,53012786;594,91154602;635,50107679;420,75778287;140,73633058;253,70286394;155,25440526;50,23260118;0,00000001
2,34316667;7,45343400;-0,63989653;1,36954017;1,33707573;3,00409210;-0,37078282;8,79153773;2,59495692;2,14892156;2,52248442;504,16573443;4,79113767;9,65433054;5,06375984;1,59638832;164,46943241;2,87525953;60,97623548;192,90937132;431,21670839;665,41691878;523,69905522;167,58505157;212,45827140;452,87325676;438,51030021;105,70831980;191,14895293;213,10185780;24,29856594;95,15852050;279,94878394;393,94343483;89,63106291;49,89833768;19,50533085;79,40055518;70,53926555;91,21325103;321,89299653;128,46979347;168,48896663;472,35842514;1440,00000005;424,01983412;200,26364164;70,17444695;189,51382688;594,88634407;635,47316337;420,74439985;140,72175303;253,67159356;155,19693262;50,21271264;0,00000001
